County,targetFormation,totalDepth,TVD,spudDate,completionDate,perfInterval,horizontalLength,firstProdDate,lastProdDate,stage,stageLength,stageper1kPI,maxInjRate,maxInjPres,totalProp,propperPI,propperStage,totalFluid,fluidperPI,fluidperStage,proppantConcentrationLbsPerBbl,peakGas,peakOil,First6Gas,First6Gasperstage,First6GasperPI,First6GasperTP,First6GasperTF,First6Oil,First6Oilperstage,First6OilperPI,First6OilperTP,First6OilperTF,First6Water,First6Wperstage,First6WperPI,First6WperTP,First6WperTF,First12BOE,First12Gas,First12Gperstage,First12GperPI,First12GperTP,First12GperTF,First12Oil,First12Operstage,First12OperPI,First12OperTP,First12OperTF,oilGravity
BURKE,THREE FORKS,18764,9301.41,12/3/2009,3/10/2010,9212,9757.23,3/1/2010,5/1/2018,16,575.75,1.736864959,45,7635,1580296,171.5475467,98768.5,40063,4.349001303,2503.9375,39.44527369,7579,5530,25533,1595.8125,2.771710812,16.15709968,637.3212191,27420,1713.75,2.976552323,17351.17978,684.4220353,18371,1148.1875,1.994246635,11.62503733,458.5527794,58970,63121,3945.0625,6.852040816,39.9425171,1575.543519,48450,3028.125,5.259444203,30658.81329,1209.345281,41.9
BURKE,BAKKEN,14141,8376.65,10/22/2009,3/5/2010,4996,6051.39,2/1/2010,5/1/2018,20,249.8,4.003202562,20,5581,1857858,371.8690953,92892.9,18072,3.617293835,903.6,102.8031208,7786,3370,5704,285.2,1.141713371,3.070202351,315.6263834,9843,492.15,1.970176141,5298.036771,544.6547145,35101,1755.05,7.025820657,18.8932631,1942.28641,21041,11623,581.15,2.326461169,6.25612937,643.1496237,19104,955.2,3.823859087,10282.80956,1057.104914,47
BURKE,THREE FORKS,18198,9331.03,8/14/2010,11/9/2010,8501,9026.58,11/1/2010,5/1/2018,27,314.8518519,3.17609693,44,8556,2641710,310.7528526,97841.11111,61427,7.225855782,2275.074074,43.00568154,8513,8434,39127,1449.148148,4.602634984,14.81123969,636.9674573,39119,1448.851852,4.601693918,14808.21135,636.8372214,53501,1981.518519,6.293494883,20.25241226,870.9687922,73519,63722,2360.074074,7.495824021,24.12149706,1037.361421,62899,2329.592593,7.399011881,23809.95643,1023.963404,38
BURKE,BAKKEN,13575,8423.41,11/24/2009,5/11/2010,4858,5428.48,5/1/2010,5/1/2018,22,220.8181818,4.528612598,26.7,7000,2046810,421.3277069,93036.81818,23286,4.793330589,1058.454545,87.89873744,4496,5714,13213,600.5909091,2.719843557,6.455411103,567.4224856,17757,807.1363636,3.655207904,8675.451068,762.5611956,25803,1172.863636,5.311445039,12.60644613,1108.090698,32363,21790,990.4545455,4.485384932,10.64583425,935.7553895,28732,1306,5.914368053,14037.4534,1233.874431,47
BURKE,BAKKEN,14095,8643.25,2/17/2011,9/15/2011,5103,5648.13,9/1/2011,5/1/2018,15,340.2,2.939447384,23,9129,2065830,404.8265726,137722,32722,6.412306486,2181.466667,63.13275472,3892,3894,15118,1007.866667,2.962571037,7.31812395,462.0133244,16516,1101.066667,3.236527533,7994.849528,504.7368743,38649,2576.6,7.573780129,18.70870304,1181.13196,31187,23510,1567.333333,4.607093866,11.38041368,718.4768657,27269,1817.933333,5.343719381,13200.0213,833.353707,42
BURKE,THREE FORKS,19125,9244.63,8/20/2010,11/26/2010,9411,10010.57,11/1/2010,5/1/2018,31,303.5806452,3.294017639,44,9150,3265216,346.9573903,105329.5484,78109,8.299755605,2519.645161,41.80332612,14507,12265,45793,1477.193548,4.865901605,14.02449333,586.2704682,42909,1384.16129,4.559451705,13141.24395,549.3477064,47938,1546.387097,5.093826373,14.68141771,613.7320923,86575,77551,2501.645161,8.240463288,23.75064927,992.8561369,73650,2375.806452,7.825948358,22555.93504,942.9131086,38.4
BURKE,BAKKEN,14673,8378.46,10/7/2010,1/17/2011,5917,6547.87,1/1/2011,5/1/2018,17,348.0588235,2.873077573,29.9,4586,2531960,427.9127936,148938.8235,31967,5.402568869,1880.411765,79.2054306,6413,5130,16714,983.1764706,2.824742268,6.60121013,522.8516908,13826,813.2941176,2.33665709,5460.591794,432.5085244,21874,1286.705882,3.696805814,8.639157017,684.2681515,33275,33365,1962.647059,5.638837249,13.17753835,1043.732599,27715,1630.294118,4.683961467,10946.0655,866.9878312,43
BURKE,BAKKEN,14330,8375.47,11/9/2010,8/18/2011,5449,6255.73,8/1/2011,5/1/2018,21,259.4761905,3.85391815,25.2,4720,3088300,566.764544,147061.9048,56828,10.42906955,2706.095238,54.34468924,6116,7785,22422,1067.714286,4.114883465,7.260305022,394.5590202,28123,1339.190476,5.161130483,9106.304439,494.8792849,101223,4820.142857,18.57643604,32.77628469,1781.217006,46052,28656,1364.571429,5.258946596,9.278891299,504.2584641,41276,1965.52381,7.574967884,13365.28187,726.3320898,46.4
BURKE,BAKKEN,13178,8390.35,11/4/2010,5/29/2011,4351,5043.61,6/1/2011,5/1/2018,17,255.9411765,3.907147782,24.9,6042,1712201,393.5189612,100717.7059,22672,5.210756148,1333.647059,75.52050988,1550,7738,475,27.94117647,0.109170306,0.2774207,20.95095272,20714,1218.470588,4.760744656,12097.8787,913.6379675,28032,1648.941176,6.44265686,16.37190961,1236.414961,36999,3585,210.8823529,0.823948518,2.093796231,158.1245589,36402,2141.294118,8.366352563,21260.35436,1605.592802,42
BURKE,BAKKEN,13505,8313.12,12/17/2010,9/1/2011,4894,5408.58,9/1/2011,5/1/2018,15,326.2666667,3.064977523,31.3,5933,2016917,412.1203515,134461.1333,25789,5.26951369,1719.266667,78.2084222,2934,7474,11871,791.4,2.425623212,5.885715674,460.3125364,30218,2014.533333,6.174499387,14982.27245,1171.739889,38482,2565.466667,7.863097671,19.07961508,1492.186591,48327,18210,1214,3.720882714,9.028631322,706.1150103,45292,3019.466667,9.254597466,22456.05545,1756.252666,42
